ID;username;password;targetAccount;providerCode;topupAmount;expectError
Topup_1;IMEDIA_TEST;24112536637251;0932345678;Mobifone;10000;0
Topup_2;IMEDIA_TEST;24112536637251;0932345679;Mobifone;10000;-13
Topup_3;IMEDIA_TEST;24112536637251;0932345678;Mobifone;10000;-1
Topup_4;IMEDIA_TEST;24112536637251;0935273392;Mobifone;10000;-2
Topup_5;IMEDIA_TEST;24112536637251;abs;Mobifone;10000;-3
Topup_6;IMEDIA_TEST;24112536637251;0935273394;Mobifone;10000;-4
Topup_7;HANGPTT_TEST;74726337729;0932345678;Mobifone;10000;-5
Topup_8;IMEDIA_TEST;24112536637251;0933345673;Mobifone;10000;-6
Topup_9;IMEDIA_TEST;24112536637251;0932345677;Mobifone;10000;-7
Topup_10;IMEDIA_TEST;24112536637251;0932345678;Mobifone;15000;-8
Topup_11;IMEDIA_TEST;24112536637251;0932345678;Mobifone;10000;-9
Topup_12;IMEDIA_TEST;24112536637251;0935273395;Mobifone;10000;-10
Topup_13;IMED_DEV;123456;0932345678;Mobifone;10000;-11
Topup_14;IMEDIA_TEST;24112536637251;0932345678;Mobifone2;10000;-14
Topup_15;IMEDIA_TEST;24112536637251;;Mobifone;10000;-17
Topup_16;IMEDIA_TEST;24112536637251;0935273390;Mobifone;10000;-19
Topup_17;IMEDIA_TEST;24112536637251;0932345671;Mobifone;10000;-21
Topup_18;IMEDIA_TEST;24112536637251;0932345672;Mobifone;10000;-22
Topup_19;IMEDIA_TEST;24112536637251;0932345673;Mobifone;10000;-23
Topup_20;IMEDIA_TEST;24112536637251;0932345674;Mobifone;10000;-24
Topup_21;IMEDIA_TEST;24112536637251;0932345675;Mobifone;10000;-25
Topup_22;IMEDIA_TEST;24112536637251;0932345676;Mobifone;10000;-26
Topup_23;IMEDIA_TEST;24112536637251;0935273393;Mobifone;10000;-27
Topup_24;IMEDIA_TEST;24112536637251;0933345671;Mobifone;10000;-28
Topup_25;IMEDIA_TEST;24112536637251;0933345672;Mobifone;10000;-29
